timestamp,image_name,object_id,category,color,size_category,confidence,method,area_pixels,aspect_ratio,shape_category,circularity,solidity,extent,color_hsv,color_kmeans,confidence_hsv,confidence_kmeans,roi_image,ground_truth
2026-05-24T13:55:59.279097,Image.jpeg,1,Mouse,black,large,0.773,combined,697085,1.15,oval,0.765,0.962,0.653,black,black,0.878,0.545,20260524_135608_069438.jpg,Mouse
2026-05-24T13:56:22.462487,Image_1.jpeg,1,Unknown Object,black,large,0.239,combined,612941,3.57,ring_like,0.294,0.59,0.56,black,black,0.798,0.611,20260524_135628_070633.jpg,Keyboard
2026-05-24T13:56:33.389457,Image_11.png,1,Mouse,black,medium,0.869,combined,247028,1.55,rectangular,0.293,0.841,0.684,black,black,0.987,0.614,20260524_135646_457706.jpg,Mouse
2026-05-24T13:56:33.389492,Image_11.png,2,Unknown Object,black,long_thin,0.3,combined,28435,6.5,rectangular,0.276,0.921,0.757,black,black,1.0,0.742,20260524_135646_460699.jpg,Mouse
2026-05-24T13:56:33.389524,Image_11.png,3,Flash Drive,black,small,0.76,combined,6395,3.4,rectangular,0.421,0.918,0.752,black,black,1.0,0.617,20260524_135646_461164.jpg,Mouse
2026-05-24T20:54:36.368126,Charger_Adapter/Image_42.jpg,1,Mouse,black,medium,0.858,combined,110780,1.26,rectangular,0.41,0.891,0.607,gray,black,0.975,0.507,20260524_205436_368184.jpg,
2026-05-24T20:54:39.507167,Charger_Adapter/Image_43.jpg,1,Headphones,silver,medium,0.662,combined,34028,2.47,irregular,0.4,0.862,0.552,silver,silver,0.849,0.46,20260524_205439_507571.jpg,
2026-05-24T20:54:42.167492,Charger_Adapter/Image_44.jpg,1,USB-C Cable,white,long_thin,0.437,combined,14355,4.2,irregular,0.052,0.373,0.267,white,white,0.575,0.51,20260524_205442_167559.jpg,
2026-05-24T20:54:45.155381,Charger_Adapter/Image_45.jpg,1,Flash Drive,black,small,0.753,combined,2742,1.11,oval,0.782,0.987,0.661,black,black,0.991,0.468,20260524_205445_155434.jpg,
2026-05-24T20:54:49.925427,Charger_Adapter/Image_46.jpg,1,USB-C Cable,silver,medium,0.405,combined,47244,1.56,irregular,0.073,0.292,0.23,silver,silver,0.533,0.407,20260524_205449_925484.jpg,
2026-05-24T20:54:55.556767,Charger_Adapter/Image_47.jpg,1,Unknown Object,black,long_thin,0.259,combined,13420,4.0,rectangular,0.354,0.881,0.666,black,black,0.865,0.395,20260524_205455_556838.jpg,
2026-05-24T20:54:55.556796,Charger_Adapter/Image_47.jpg,2,Unknown Object,black,long_thin,0.3,combined,3397,9.64,irregular,0.164,0.908,0.564,black,black,1.0,0.385,20260524_205455_557311.jpg,
2026-05-24T20:55:11.887417,Charger_Adapter/Image_6.jpeg,1,Charger Adapter,silver,small,0.503,combined,90661,1.69,block,0.114,0.523,0.441,silver,white,0.599,0.519,20260524_205511_887480.jpg,
2026-05-24T20:55:12.358801,Headphones/170432341583.jpg,1,Colored Object,orange,medium,0.544,combined,7007,1.28,oval,0.433,0.735,0.538,orange,orange,0.837,0.728,20260524_205512_362517.jpg,
2026-05-24T20:55:15.252732,Headphones/23822.970.jpg,1,Unknown Object,black,long_thin,0.3,combined,5060,9.06,irregular,0.175,0.884,0.581,black,black,1.0,0.486,20260524_205515_252806.jpg,
2026-05-24T20:55:15.252763,Headphones/23822.970.jpg,2,Charger Adapter,white,medium,0.686,combined,22938,1.79,block,0.29,0.835,0.593,white,white,0.816,0.532,20260524_205515_253247.jpg,
2026-05-24T20:55:17.211716,Headphones/835236965672fb28e8df75ba326a6e9c0c4a51026c4f_b.jpg,1,Unknown Object,black,large,0.266,combined,96200,1.01,ring_like,0.102,0.453,0.366,black,black,0.886,0.58,20260524_205517_211778.jpg,
2026-05-24T20:55:32.114855,Headphones/Image_2.jpeg,1,USB-C Cable,black,medium,0.3,combined,89912,1.31,ring_like,0.126,0.519,0.312,black,black,0.334,0.395,20260524_205532_114910.jpg,
2026-05-24T20:55:36.990731,Headphones/Image_28.jpg,1,Charger Adapter,silver,small,0.839,combined,5209,1.95,block,0.168,0.495,0.378,silver,silver,0.999,0.569,20260524_205536_990804.jpg,
2026-05-24T20:55:36.990759,Headphones/Image_28.jpg,2,USB-C Cable,silver,small,0.76,combined,3400,3.05,irregular,0.164,0.537,0.281,silver,silver,1.0,0.461,20260524_205536_991245.jpg,
2026-05-24T20:55:40.298158,Headphones/Image_29.jpg,1,USB-C Cable,silver,small,0.414,combined,10248,1.06,ring_like,0.227,0.532,0.296,silver,black,0.544,0.437,20260524_205540_300959.jpg,
2026-05-24T20:55:44.606337,Headphones/Image_30.jpg,1,USB-C Cable,silver,long_thin,0.416,combined,13597,4.05,irregular,0.032,0.202,0.119,silver,silver,0.533,0.547,20260524_205544_606404.jpg,
2026-05-24T20:55:44.606365,Headphones/Image_30.jpg,2,USB-C Cable,black,medium,0.53,combined,11498,1.47,irregular,0.044,0.233,0.127,black,black,0.697,0.533,20260524_205544_607310.jpg,
2026-05-24T20:55:48.781390,Headphones/Image_31.jpg,1,Charger Adapter,gray,small,0.84,combined,3135,1.3,oval,0.494,0.872,0.505,gray,gray,1.0,0.345,20260524_205548_781464.jpg,
2026-05-24T20:55:48.781418,Headphones/Image_31.jpg,2,Charger Adapter,silver,small,0.78,combined,22300,1.39,block,0.216,0.489,0.309,silver,silver,0.929,0.659,20260524_205548_781875.jpg,
2026-05-24T20:55:53.556805,Headphones/Image_32.jpg,1,USB-C Cable,silver,medium,0.386,combined,24268,1.32,irregular,0.044,0.192,0.126,silver,silver,0.509,0.473,20260524_205553_556880.jpg,
2026-05-24T20:55:53.556833,Headphones/Image_32.jpg,2,USB-C Cable,black,small,0.447,combined,8765,1.21,ring_like,0.12,0.329,0.104,black,black,0.588,0.578,20260524_205553_558361.jpg,
2026-05-24T20:55:57.690920,Headphones/Image_33.jpg,1,Unknown Object,black,small,0.166,combined,3615,1.33,ring_like,0.321,0.643,0.376,silver,black,0.293,0.554,20260524_205557_692662.jpg,
2026-05-24T20:55:57.690952,Headphones/Image_33.jpg,2,USB-C Cable,silver,medium,0.536,combined,14118,3.42,irregular,0.067,0.29,0.17,silver,silver,0.705,0.47,20260524_205557_693099.jpg,
2026-05-24T20:56:05.591937,Headphones/Image_35.jpg,1,Unknown Object,silver,large,0.159,combined,212592,1.21,ring_like,0.083,0.444,0.288,silver,white,0.529,0.44,20260524_205605_591985.jpg,
2026-05-24T20:56:28.367472,Headphones/Image_4.jpeg,1,Headphones,silver,large,0.469,combined,553954,1.04,ring_like,0.198,0.679,0.472,silver,silver,0.602,0.516,20260524_205628_367567.jpg,
2026-05-24T20:56:28.367518,Headphones/Image_4.jpeg,2,USB-C Cable,silver,long_thin,0.426,combined,14608,19.48,irregular,0.007,0.103,0.052,silver,black,0.561,0.455,20260524_205628_375431.jpg,
2026-05-24T20:56:54.516283,Headphones/Image_5.jpeg,1,USB-C Cable,silver,small,0.522,combined,20642,1.0,ring_like,0.151,0.321,0.155,silver,silver,0.687,0.522,20260524_205654_516355.jpg,
2026-05-24T20:56:58.907969,Headphones/c750bf9a32d211ee9bfc6ee9ab557742_upscaled.jpeg,1,Unknown Object,black,small,0.228,combined,2225,1.75,oval,0.649,1.012,0.657,black,black,0.759,0.671,20260524_205658_910767.jpg,
2026-05-24T20:56:58.907997,Headphones/c750bf9a32d211ee9bfc6ee9ab557742_upscaled.jpeg,2,Flash Drive,red,small,0.636,combined,7411,1.8,oval,0.596,0.946,0.753,red,black,0.837,0.447,20260524_205658_911109.jpg,
2026-05-24T20:56:59.284362,Headphones/images (1).jpeg,1,Flash Drive,black,small,0.378,combined,310,1.12,oval,0.526,0.84,0.443,black,gray,0.497,0.458,20260524_205659_284425.jpg,
2026-05-24T20:56:59.551177,Headphones/images (13).jpeg,1,Headphones,black,large,0.338,combined,8178,1.14,ring_like,0.553,0.681,0.543,gray,black,0.291,0.434,20260524_205659_551248.jpg,
2026-05-24T20:56:59.551206,Headphones/images (13).jpeg,2,Unknown Object,white,long_thin,0.215,combined,347,24.5,rectangular,0.108,1.228,0.885,white,white,0.718,0.718,20260524_205659_552227.jpg,
2026-05-24T20:56:59.714484,Headphones/images (2).jpeg,1,Mouse,black,medium,0.698,combined,2824,2.05,oval,0.613,0.941,0.746,black,black,0.793,0.57,20260524_205659_714565.jpg,
2026-05-24T20:57:00.074419,Headphones/images.jpeg,1,Flash Drive,black,small,0.636,combined,153,2.18,oval,0.573,0.93,0.58,black,black,0.837,0.497,20260524_205700_074540.jpg,
2026-05-24T20:57:00.074455,Headphones/images.jpeg,2,Unknown Object,black,small,0.281,combined,242,2.77,irregular,0.462,1.059,0.517,orange,black,0.938,0.459,20260524_205700_074892.jpg,
2026-05-24T20:57:00.074475,Headphones/images.jpeg,3,Colored Object,orange,small,0.514,combined,450,1.27,oval,0.772,1.01,0.731,orange,black,0.791,0.422,20260524_205700_075084.jpg,
2026-05-24T20:57:01.291813,Headphones/tochny-gray-background.jpeg,1,USB-C Cable,black,medium,0.554,combined,56871,1.21,ring_like,0.287,0.49,0.408,black,black,0.729,0.48,20260524_205701_291906.jpg,
2026-05-24T20:57:01.291847,Headphones/tochny-gray-background.jpeg,2,Unknown Object,black,small,0.192,combined,1033,3.08,ring_like,0.36,0.75,0.497,black,black,0.639,0.512,20260524_205701_293096.jpg,
2026-05-24T20:57:03.624366,Headphones/проводные-наушники-с-usb-разъемом-на-деревянном-столе-крупный-план-433202715.webp,1,Headphones,gray,medium,0.438,combined,23833,1.03,ring_like,0.613,0.862,0.562,gray,gray,0.302,0.562,20260524_205703_624437.jpg,
2026-05-24T20:57:03.624392,Headphones/проводные-наушники-с-usb-разъемом-на-деревянном-столе-крупный-план-433202715.webp,2,Colored Object,orange,medium,0.485,combined,12129,1.64,ring_like,0.459,0.87,0.506,orange,gray,0.746,0.453,20260524_205703_625151.jpg,
2026-05-24T20:57:06.552093,Image_21.jpg,1,Unknown Object,black,large,0.201,combined,179108,1.21,ring_like,0.328,0.501,0.353,black,black,0.67,0.505,20260524_205706_552150.jpg,
2026-05-24T20:57:11.403281,Image_22.jpg,1,Unknown Object,black,large,0.231,combined,179973,1.45,ring_like,0.083,0.304,0.229,gray,black,0.769,0.375,20260524_205711_403337.jpg,
2026-05-24T20:57:15.520741,Image_23.jpg,1,Charger Adapter,silver,medium,0.812,combined,125106,1.3,oval,0.461,0.712,0.514,silver,white,0.967,0.684,20260524_205715_520828.jpg,
2026-05-24T20:57:15.520769,Image_23.jpg,2,Charger Adapter,white,small,0.625,combined,3342,1.25,oval,0.602,0.986,0.463,white,white,0.744,0.683,20260524_205715_524455.jpg,
